run_accession	total_bases	total_spots	isolate	collection_date	geo_loc_name	host	biosample	library_strategy	library_selection	platform	instrument	bioproject	host_category
SRR31960186	127899070	245474	24-038319-002	2024	USA	CATTLE	SAMN46201418	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960187	98939636	190933	24-038271-001	2024	USA	CATTLE	SAMN46201400	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960188	100638834	191370	24-038318-003	2024	USA	CATTLE	SAMN46201417	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960189	141429514	286706	24-038318-001	2024	USA	CATTLE	SAMN46201416	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960190	135849407	267109	24-038306-005	2024	USA	CATTLE	SAMN46201415	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960191	148424461	290430	24-038306-004	2024	USA	CATTLE	SAMN46201414	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960192	120014358	229093	24-038306-003	2024	USA	CATTLE	SAMN46201413	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960193	171616038	330838	24-038306-002	2024	USA	CATTLE	SAMN46201412	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960194	101665966	198259	24-038303-003	2024	USA	CATTLE	SAMN46201411	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960195	80098739	160008	24-038303-002	2024	USA	CATTLE	SAMN46201410	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960196	84822216	162633	24-038298-002	2024	USA	CATTLE	SAMN46201409	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960197	83336053	163279	24-038298-001	2024	USA	CATTLE	SAMN46201408	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960198	51027316	104857	24-038180-001	2024	USA	SERVAL	SAMN46201399	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	other
SRR31960199	123626037	239399	24-038160-001	2024	USA	MOUNTAIN LION	SAMN46201398	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	other
SRR31914542	116871360	398626	24-035507-002	2024	USA	CHICKEN	SAMN46133428	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	poultry_wildbird
SRR31914543	125214430	429046	24-035507-001	2024	USA	CHICKEN	SAMN46133427	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	poultry_wildbird
SRR31914544	134876209	464694	24-035506-019	2024	USA	CHICKEN	SAMN46133426	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	poultry_wildbird
SRR31914545	241164346	829052	24-035506-018	2024	USA	CHICKEN	SAMN46133425	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	poultry_wildbird
SRR31914546	320550238	1102305	24-035506-017	2024	USA	CHICKEN	SAMN46133424	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	poultry_wildbird
SRR31914547	50611825	173413	24-035506-016	2024	USA	CHICKEN	SAMN46133423	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	poultry_wildbird
SRR31914548	117011249	400065	24-035506-015	2024	USA	CHICKEN	SAMN46133422	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	poultry_wildbird
SRR31914549	148964669	507714	24-035506-014	2024	USA	CHICKEN	SAMN46133421	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	poultry_wildbird
SRR31914550	102219107	350528	24-035506-012	2024	USA	CHICKEN	SAMN46133420	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	poultry_wildbird
SRR31914551	165331277	565331	24-035506-011	2024	USA	CHICKEN	SAMN46133419	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	poultry_wildbird
SRR31914552	151419256	518827	24-034999-001	2024	USA	CATTLE	SAMN46133338	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31914553	92968889	319085	24-035506-010	2024	USA	CHICKEN	SAMN46133418	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	poultry_wildbird
SRR31914554	153365696	525748	24-035506-007	2024	USA	CHICKEN	SAMN46133417	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	poultry_wildbird
SRR31914555	109516189	374128	24-035506-006	2024	USA	CHICKEN	SAMN46133416	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	poultry_wildbird
SRR31914556	174058339	595619	24-035506-005	2024	USA	CHICKEN	SAMN46133415	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	poultry_wildbird
SRR31914557	165324239	569983	24-035506-004	2024	USA	CHICKEN	SAMN46133414	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	poultry_wildbird
SRR31914558	82772844	286566	24-035506-002	2024	USA	CHICKEN	SAMN46133413	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	poultry_wildbird
SRR31914559	78734859	271022	24-035503-001	2024	USA	CHICKEN	SAMN46133412	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	poultry_wildbird
SRR31914560	91792778	313564	24-035492-002	2024	USA	CATTLE	SAMN46133411	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31914561	144502460	490635	24-035492-001	2024	USA	CATTLE	SAMN46133410	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31914562	134684109	459309	24-035208-001	2024	USA	CATTLE	SAMN46133409	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31914563	199696109	682809	24-034970-003	2024	USA	CATTLE	SAMN46133337	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31914564	125644164	428838	24-035206-001	2024	USA	CATTLE	SAMN46133408	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31914565	159994994	547080	24-035200-002	2024	USA	CATTLE	SAMN46133407	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31914566	99098291	342157	24-035200-001	2024	USA	CATTLE	SAMN46133406	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31914567	71325328	243860	24-035188-003	2024	USA	CATTLE	SAMN46133405	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31914568	155864313	533148	24-035108-001	2024	USA	CATTLE	SAMN46133404	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31914569	172160076	592961	24-035107-003	2024	USA	CATTLE	SAMN46133403	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31914570	94421289	326151	24-035107-002	2024	USA	CATTLE	SAMN46133402	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
